groupe                    NCR% sig r/b  d ciel     N*    NCR   */CR   surv*  perdu  abime  survCR surv faible* perdu f */CR f
-----------------------------------------------------------------------------------------------------------------------------
NGC 4258/F814W/chip1      0.87   0.988   -0.80    493   1023   0.48   56.0%  39.8%  75.3%   -8.4%        81.6%   11.5%   1.58
NGC 4258/F814W/chip2      1.02   0.982   -0.24   1653   5476   0.30   47.3%  56.3%  95.5%   -2.6%       100.2%   14.2%   1.48
NGC 598/F606W/chip1       1.45   0.969   -1.23  12511   2404   5.20  100.3%   6.0%  12.1%    1.7%       100.9%    3.6%   8.46
NGC 598/F814W/chip1       1.71   0.963   -1.07  13862   3783   3.66  100.2%   6.4%  13.3%    1.5%       101.0%    4.3%   7.07
NGC 1569/F606W/chip1      1.90   0.953   -2.04   8258   2577   3.20  100.1%   6.4%  25.3%   -9.0%       100.3%    4.2%   3.16
NGC 1569/F606W/chip2      2.30   0.953   -0.31    980  14677   0.07   28.1%  71.4%  85.5%    1.6%       101.0%   24.8%   0.66
IC 10/F814W/chip1         1.70   0.973   -0.82   8732   4714   1.85  100.2%  13.1%  24.3%   -0.4%       100.7%    6.3%   4.34
IC 10/F814W/chip2         1.95   0.962   -0.51   9888   9150   1.08  100.2%  18.2%  33.8%   -0.1%       100.9%    4.3%   5.71
NGC 3031/F606W/chip1      5.52   0.889   -1.05   5375  20080   0.27   21.0%  76.8%  90.4%    0.9%        68.4%   39.7%   1.42
NGC 3031/F606W/chip2      5.71   0.884   -0.98   4999  20076   0.25   11.5%  81.6%  92.0%    1.6%        60.3%   45.2%   1.23

Detail par etage de brillance (etoiles confirmees / rayons cosmiques confirmes)
groupe                            *30-100            *>100         CR30-100           CR>100
NGC 4258/F814W/chip1            n=435 60%         n=58 31%       n=824 -12%        n=199 -1%
NGC 4258/F814W/chip2           n=1494 49%        n=159 15%       n=3925 -7%        n=1551 1%
NGC 598/F606W/chip1          n=10503 100%      n=2008 100%        n=1797 1%         n=607 3%
NGC 598/F814W/chip1          n=10160 100%      n=3702 100%       n=2805 -0%         n=978 4%
NGC 1569/F606W/chip1          n=5918 100%      n=2340 100%      n=1958 -14%        n=619 -2%
NGC 1569/F606W/chip2            n=798 23%        n=182 67%       n=10071 2%        n=4606 1%
IC 10/F814W/chip1             n=7562 100%      n=1170 100%       n=3469 -4%        n=1245 3%
IC 10/F814W/chip2             n=8142 100%      n=1746 100%       n=6528 -2%        n=2622 1%
NGC 3031/F606W/chip1           n=4926 22%        n=449 11%       n=13171 1%        n=6909 1%
NGC 3031/F606W/chip2           n=4524 12%         n=475 6%       n=13133 2%        n=6943 1%
